origin	status	framework	principal_theorem	statements	closed	axiom_dep	sha256	new_path
f037.v	proved	authorization	t13_dimensional_independence	16	16	0	5246380091ca8b1f01f05c31cb40feba665d6732adfc0278b9889fd5d6ef92f4	01_proved/authorization/authorization__t13_dimensional_independence__52463800.v
f079.v	proved	authorization	t1_dag_acyclicity	40	40	0	8776277ef303678e222882ef6276a8a6bc99c4c71a39274303f795106d949823	01_proved/authorization/authorization__t1_dag_acyclicity__8776277e.v
f065.v	proved	authorization	t1_dag_acyclicity	40	40	0	f4f759e3c9720c589c3ed15dee1f96f3fafa455554b35a980cd2047790f9e919	01_proved/authorization/authorization__t1_dag_acyclicity__f4f759e3.v
f093.v	proved	consciousness	architecture_exclusion_schema	13	13	0	346dc85cfdb520d4aeb8ce922461b1166ca2fa4f5401a2c4b60612ad63f902a5	01_proved/consciousness/consciousness__architecture_exclusion_schema__346dc85c.v
f097.v	proved	consciousness	architecture_exclusion_schema	13	13	0	cce9b7eef5bd748369234e663a543147da48b47f4b9d13e46efc1ad53702f264	01_proved/consciousness/consciousness__architecture_exclusion_schema__cce9b7ee.v
f085.v	proved	consciousness	attribution_does_not_entail_continuation	12	12	0	3917f7fb52b9da1a86ac39b4caf092f56effe070922beae53d26814a6e72a82b	01_proved/consciousness/consciousness__attribution_does_not_entail_continuation__3917f7fb.v
f035.v	proved	consciousness	full_independence	8	8	0	4c5172d11ec15ee0b4735935e2370a8515593f140e3e3166ca15c0082f9116bd	01_proved/consciousness/consciousness__full_independence__4c5172d1.v
f078.v	proved	consciousness	identity_non_derivation	10	10	0	af20b30e08ae787cadd8ac38ba2d047cf06080d7ba37f100af7057437408f3cb	01_proved/consciousness/consciousness__identity_non_derivation__af20b30e.v
f076.v	proved	consciousness	protocol_relativity_strong	20	20	0	0b8efe61639f93c34c085029de92c745ddfbf59d3023a98a48b5d9cbb943b60c	01_proved/consciousness/consciousness__protocol_relativity_strong__0b8efe61.v
f041.v	proved	consciousness	protocol_relativity_strong	20	20	0	670e93942ed74fe6e581614915e1f71c2ef90eb19ef296306a5724c34eb8378a	01_proved/consciousness/consciousness__protocol_relativity_strong__670e9394.v
f077.v	proved	consciousness	spoof_attribution_equivalence	8	8	0	c85fec6370d491cff7844dfc290244e6d734447a4b1338c25e38927c2e045973	01_proved/consciousness/consciousness__spoof_attribution_equivalence__c85fec63.v
f095.v	proved	crypto_provenance	cycle_detected	18	18	0	5b0ad5e21c9196c0dee4d81d39c46eacd09215320474d0339634791d5dc90c8a	01_proved/crypto_provenance/crypto_provenance__cycle_detected__5b0ad5e2.v
f104.v	proved	crypto_provenance	cycle_rejected	15	15	0	89dc4bfc440c12eba9470c44ad31c167f1cf5736aa86166c47f67fb543bf9fa4	01_proved/crypto_provenance/crypto_provenance__cycle_rejected__89dc4bfc.v
f042.v	proved	crypto_provenance	merkle_tamper_evidence	14	14	0	6fa2e841e6d52ac339c7c7468fcb23bb3b5fb01f2075ec187d8d1bf99cf22dc6	01_proved/crypto_provenance/crypto_provenance__merkle_tamper_evidence__6fa2e841.v
f096.v	proved	crypto_provenance	outcome_closed	2	2	0	d2e62374b98f7c0dbc519cd8d71feffe047ee03a2d208cff5b81a03371f106bc	01_proved/crypto_provenance/crypto_provenance__outcome_closed__d2e62374.v
f060.v	proved	crypto_provenance	projection_erases_left_subtree	11	11	0	e0a506894b32d5f25fe95e0e622fb2af676fe73955713dc84cc761502d9c6784	01_proved/crypto_provenance/crypto_provenance__projection_erases_left_subtree__e0a50689.v
f094.v	proved	lineage_dag	regulated_implies_lineage	21	21	0	914ed53d0dc16d66e1eeca43b37edbcbc0297e3efe2f7c48c19d9ac8013e1da6	01_proved/lineage_dag/lineage_dag__regulated_implies_lineage__914ed53d.v
f029.v	proved	operator_algebra	concrete_apply_total	22	22	0	34848cf61c7395d47ad0e26ca9e47c15473074c29bc7555286212eeac4055895	01_proved/operator_algebra/operator_algebra__concrete_apply_total__34848cf6.v
f039.v	proved	operator_algebra	recoverability_decidable	5	5	0	5f45d30cdb3796d3a4b34cf2b9e9c4b4a20967654d816f75972f17700156cb86	01_proved/operator_algebra/operator_algebra__recoverability_decidable__5f45d30c.v
f026.v	proved	recovery	lyapunov_stability	43	43	0	27a9a6e2cc0a61491f647a98b8721af1b42acbfe5c3f66e61582c1ed76374a78	01_proved/recovery/recovery__lyapunov_stability__27a9a6e2.v
f058.v	proved	recovery	lyapunov_stability	43	43	0	cda18c42c78ca995069ae66c67c00d5fd9b94aea12f438a181e2fbba9b08043e	01_proved/recovery/recovery__lyapunov_stability__cda18c42.v
f027.v	proved	recovery	t8_recovery_monotonicity	10	10	0	315d52b916a9ae35ca309f8fbee775f6f25a963738d6c15b429b631333735599	01_proved/recovery/recovery__t8_recovery_monotonicity__315d52b9.v
f019.v	axiom_dep	consciousness	conjunctive_blocking	6	4	2	08f025a9ebe86d3f5e12714f4934e3b20f70a500a8b1b97e32d2f6014563380d	02_axiom_dependent/consciousness/consciousness__conjunctive_blocking__08f025a9.v
f073.v	axiom_dep	crypto_provenance	cycle_rejected	15	7	8	82362bfa61c671dd8c9782639e86b84156bc79dd4405539546c230fbd98c3420	02_axiom_dependent/crypto_provenance/crypto_provenance__cycle_rejected__82362bfa.v
f030.v	axiom_dep	crypto_provenance	fold_ctx_canonical	13	12	1	3a100f54de2ad10d76584f9ac057aa7db84cb170dd7d5f1df3dc407b98fc0c54	02_axiom_dependent/crypto_provenance/crypto_provenance__fold_ctx_canonical__3a100f54.v
f089.v	axiom_dep	crypto_provenance	no_universal_suppression_strict_excess	4	0	4	8f7bbede7da4ba6df298f4b7718afec00e63761414d73db235984ebdf579980c	02_axiom_dependent/crypto_provenance/crypto_provenance__no_universal_suppression_strict_excess__8f7bbede.v
f047.v	axiom_dep	operator_algebra	admissible_iff	6	0	6	912fa97999e3d145854521251d16ea04910f0f20bf223a54e91610b97117521a	02_axiom_dependent/operator_algebra/operator_algebra__admissible_iff__912fa979.v
f062.v	axiom_dep	operator_algebra	compose_admissible	8	0	8	ecacf7ad4938625260500465147050f052f5900ccd3ca975647e47022f600aa4	02_axiom_dependent/operator_algebra/operator_algebra__compose_admissible__ecacf7ad.v
f049.v	axiom_dep	recovery	closure_under_composition	20	15	5	a703d4ef5c4cc9ea35d031e1a351ed2eee3dcb8dcd3ef4761b90aa041e509d72	02_axiom_dependent/recovery/recovery__closure_under_composition__a703d4ef.v
f066.v	axiom_dep	recovery	closure_under_composition	8	3	5	fae7d6a56d67d38eebae755aa0ee76ebf2a31df6bc350fc3335278536df9da91	02_axiom_dependent/recovery/recovery__closure_under_composition__fae7d6a5.v
f034.v	axiom_dep	recovery	closure_under_composition_v2	8	6	2	45ad746646e60f800257d5ff8a9427bde8824c62cef9ab4dcafa23851592dbad	02_axiom_dependent/recovery/recovery__closure_under_composition_v2__45ad7466.v
f080.v	axiom_dep	recovery	event_horizon_decidable	11	7	4	33c47e4c5e54dd0e48fac823aad36090acc34c885ddbac5f850198dd12aed7c7	02_axiom_dependent/recovery/recovery__event_horizon_decidable__33c47e4c.v
f053.v	axiom_dep	recovery	event_horizon_sufficient_for_recovery	5	1	4	af6a44eb568e8973eae45c05b7c6b51d08a9aca1f9644d460f9cf6dcaf3fb5c3	02_axiom_dependent/recovery/recovery__event_horizon_sufficient_for_recovery__af6a44eb.v
f061.v	axiom_dep	recovery	event_horizon_sufficient_for_recovery	5	1	4	e2d8587841ba3c5a33cc1084cd4c78e2970c1b3ee573e4579c9ea948c74c11c7	02_axiom_dependent/recovery/recovery__event_horizon_sufficient_for_recovery__e2d85878.v
f106.v	axiom_dep	recovery	fold_ctx_canonical	15	13	2	28df9921181ea2a5073b0290a838941212f29af92f4369fd1fc80775bb64bacf	02_axiom_dependent/recovery/recovery__fold_ctx_canonical__28df9921.v
f046.v	axiom_dep	recovery	oal_void_if_not_wf	2	0	2	8c7ced1c81ed239239a0324558a9d84f2fb94c45003fef6154a3e1d192168c54	02_axiom_dependent/recovery/recovery__oal_void_if_not_wf__8c7ced1c.v
f036.v	axiom_dep	recovery	t15_failure_meet_localized	149	0	149	51fbd51b030d175fdae8fd410c40791eefe8ae1c4fa97e7d0079d925b0e46f7c	02_axiom_dependent/recovery/recovery__t15_failure_meet_localized__51fbd51b.v
f023.v	axiom_dep	recovery	unique_normal_form	1	0	1	2285d77c5e5903f8c81017bf1e7ecceaa20aa64db827c095c4e7796d63249d27	02_axiom_dependent/recovery/recovery__unique_normal_form__2285d77c.v
f107.v	axiom_dep	unsorted	liability_convergence	1	0	1	2c5e3a9c3218f44cd25168352abbe4b6124ac98f8d9d640b7c0a521286d9bf7e	02_axiom_dependent/unsorted/unsorted__liability_convergence__2c5e3a9c.v
f091.v	axiom_dep	unsorted	no_universal_suppression_strict_excess	4	0	4	8dfecb1b521616c2cf2db7f324c7cf7c5dc231b697926fd1ce2be539f0fe5b7b	02_axiom_dependent/unsorted/unsorted__no_universal_suppression_strict_excess__8dfecb1b.v
f021.v	empty	crypto_provenance	formal_candidates	0	0	0	182669dba7654c867bd79708c16f8d9249f4551c0bf7481527e467adbc1f619e	03_no_statements/crypto_provenance/crypto_provenance__formal_candidates__182669db.v
f033.v	broken	authorization	lineage_always_acyclic	0	0	0	4538c4633faa2294b980f14f6a9d31ab72003d06cc67efc26eb4a19620e81206	04_uncompiled/authorization/authorization__lineage_always_acyclic__4538c463.v
f045.v	broken	consciousness	admissibility_closure	0	0	0	8bdeae4ed70f2c1219830a84fd2b7017fb8d3dd74e5f673ed2d2bb3f4c9d1fdf	04_uncompiled/consciousness/consciousness__admissibility_closure__8bdeae4e.v
f057.v	broken	consciousness	admissibility_closure	0	0	0	b9d7504accca5fbc62dd69b3c234b47664cfb0e2c5c38ebc809485c0348f7c86	04_uncompiled/consciousness/consciousness__admissibility_closure__b9d7504a.v
f074.v	broken	consciousness	architecture_exclusion_schema	0	0	0	a96a94ec8020106b7ad637e8b4f27bd143ecd0e4c0a3becb1f11d1e7fd57ef66	04_uncompiled/consciousness/consciousness__architecture_exclusion_schema__a96a94ec.v
f055.v	broken	consciousness	architecture_exclusion_schema	0	0	0	b8254f3358c1f80c2aca07bf17fa1ceca5f2a0fed9a91dfb28b2a459b187a6e6	04_uncompiled/consciousness/consciousness__architecture_exclusion_schema__b8254f33.v
f099.v	broken	consciousness	architecture_exclusion_schema	0	0	0	ecc89534444018b8000b724dc8b891364808126e69bfad3db82fea58c9803761	04_uncompiled/consciousness/consciousness__architecture_exclusion_schema__ecc89534.v
f068.v	broken	consciousness	attribution_implies_cert	0	0	0	fea2a8b8a680961fbec1c01d3f099610c0231098471916e9f20a10c85ed79073	04_uncompiled/consciousness/consciousness__attribution_implies_cert__fea2a8b8.v
